Country,City,Charging Station ID,Charging Station Type,EV Model,Manufacturer,Battery Capacity (kWh),Charging Start Time,Charging End Time,Charging Duration (mins),Energy Delivered (kWh),Charging Cost ($),Payment Method,Temperature (°C),Charging Session Outcome,Station Utilization Rate (%)
USA,San Francisco,CS-4033,Level 2,BYD Han,BYD,76,2025-03-23 23:39:03,2025-03-24 02:31:03,172,22.45,4.23,Subscription,14.2,Completed,32.4
UK,Manchester,CS-2080,DC Fast,Chevy Bolt,Chevrolet,66,2025-01-27 16:22:26,2025-01-27 19:21:26,179,58.96,15.2,Subscription,26.8,Aborted,72.6
India,Delhi,CS-7752,Level 2,Renault Zoe,Renault,52,2025-01-11 16:45:40,2025-01-11 19:04:40,139,21.17,5.71,App,5.8,Completed,35.5
France,Paris,CS-6860,Level 2,Hyundai Kona Electric,Hyundai,64,2025-04-07 01:59:18,2025-04-07 02:28:18,29,52.71,12.73,Subscription,35.0,Completed,18.0
France,Lyon,CS-9347,DC Fast,Renault Zoe,Renault,52,2025-03-28 11:16:57,2025-03-28 11:45:57,29,40.91,15.72,App,9.2,Completed,24.1
Australia,Melbourne,CS-6927,DC Fast,Audi e-tron,Audi,95,2025-02-06 22:42:52,2025-02-07 01:28:52,166,7.54,2.34,Subscription,0.7,Completed,76.9
Norway,Trondheim,CS-2250,Level 1,Hyundai Kona Electric,Hyundai,64,2025-03-10 14:27:50,2025-03-10 15:26:50,59,33.94,4.31,Subscription,3.8,Failed,48.2
India,Bangalore,CS-2312,Level 2,Chevy Bolt,Chevrolet,66,2025-02-03 19:04:59,2025-02-03 19:52:59,48,25.79,3.95,Card,-4.1,Failed,66.4
UK,London,CS-3022,DC Fast,Renault Zoe,Renault,52,2025-04-03 19:51:32,2025-04-03 21:39:32,108,50.15,10.64,App,18.4,Aborted,34.1
UK,London,CS-4859,Level 1,Porsche Taycan,Porsche,93,2025-02-10 17:20:39,2025-02-10 20:18:39,178,89.54,26.39,Subscription,33.7,Failed,81.2
Australia,Melbourne,CS-6970,DC Fast,Chevy Bolt,Chevrolet,66,2025-02-17 19:54:47,2025-02-17 22:39:47,165,54.68,11.68,Subscription,6.8,Completed,68.3
Australia,Melbourne,CS-6245,DC Fast,BYD Han,BYD,76,2025-01-21 15:33:10,2025-01-21 15:56:10,23,17.93,3.5,Card,20.6,Completed,84.9
UK,Manchester,CS-4077,DC Fast,Nissan Leaf,Nissan,40,2025-03-31 23:49:01,2025-04-01 01:04:01,75,17.14,3.36,Card,27.9,Failed,61.1
India,Delhi,CS-3182,Level 2,Tesla Model 3,Tesla,60,2025-01-24 11:20:31,2025-01-24 12:42:31,82,16.53,5.09,App,26.5,Failed,10.1
Canada,Vancouver,CS-8555,Level 2,Porsche Taycan,Porsche,93,2025-03-20 11:44:15,2025-03-20 12:41:15,57,82.84,20.54,App,16.8,Completed,76.3
Australia,Brisbane,CS-7590,Level 1,Chevy Bolt,Chevrolet,66,2025-02-19 22:51:14,2025-02-19 23:47:14,56,32.53,11.05,App,-4.2,Aborted,86.1
Germany,Munich,CS-6265,Level 1,BMW i3,BMW,42,2025-03-05 13:50:49,2025-03-05 15:41:49,111,10.95,1.34,App,18.8,Failed,81.5
USA,Los Angeles,CS-6942,Level 1,BMW i3,BMW,42,2025-01-26 18:49:50,2025-01-26 21:39:50,170,37.92,5.58,App,3.2,Completed,42.7
Japan,Yokohama,CS-5730,Level 1,Renault Zoe,Renault,52,2025-03-17 00:40:55,2025-03-17 02:02:55,82,36.05,6.82,Card,10.7,Failed,77.2
UK,London,CS-8620,DC Fast,Audi e-tron,Audi,95,2025-02-11 23:00:17,2025-02-11 23:15:17,15,43.48,8.19,Subscription,19.0,Completed,17.8
France,Paris,CS-4157,Level 2,Hyundai Kona Electric,Hyundai,64,2025-02-28 10:13:53,2025-02-28 10:48:53,35,32.94,4.44,App,14.6,Failed,31.2
Japan,Osaka,CS-6473,Level 2,BMW i3,BMW,42,2025-01-10 07:27:48,2025-01-10 09:16:48,109,37.76,7.96,Card,5.5,Aborted,31.1
China,Shenzhen,CS-5819,Level 1,Tesla Model 3,Tesla,60,2025-02-22 10:31:24,2025-02-22 11:24:24,53,46.37,13.92,Subscription,8.8,Failed,43.1
Australia,Sydney,CS-2588,Level 2,Renault Zoe,Renault,52,2025-01-17 17:38:32,2025-01-17 18:08:32,30,44.52,15.38,Subscription,22.5,Aborted,55.8
France,Lyon,CS-2139,Level 1,Hyundai Kona Electric,Hyundai,64,2025-01-10 21:07:40,2025-01-10 21:42:40,35,28.29,10.08,Subscription,17.8,Failed,74.0
Australia,Sydney,CS-4131,Level 1,Nissan Leaf,Nissan,40,2025-03-01 07:53:41,2025-03-01 10:02:41,129,11.05,4.37,Card,0.0,Aborted,16.3
Canada,Toronto,CS-4126,Level 1,BMW i3,BMW,42,2025-04-02 04:07:46,2025-04-02 06:54:46,167,14.54,5.43,Card,10.5,Aborted,54.2
China,Shenzhen,CS-2197,DC Fast,Kia EV6,Kia,77,2025-03-04 21:01:26,2025-03-04 21:19:26,18,61.63,17.68,App,-0.5,Completed,21.9
Australia,Brisbane,CS-3602,Level 2,Nissan Leaf,Nissan,40,2025-02-02 07:34:58,2025-02-02 08:16:58,42,24.69,3.22,Subscription,30.2,Aborted,31.1
Norway,Trondheim,CS-6766,Level 1,BYD Han,BYD,76,2025-03-31 06:49:38,2025-03-31 09:05:38,136,7.66,1.4,Subscription,19.3,Failed,42.1
Canada,Vancouver,CS-2258,Level 2,Chevy Bolt,Chevrolet,66,2025-01-11 09:05:28,2025-01-11 09:32:28,27,50.49,19.0,Card,8.5,Aborted,34.9
Norway,Trondheim,CS-3961,Level 2,Nissan Leaf,Nissan,40,2025-03-09 20:30:10,2025-03-09 21:43:10,73,9.7,3.8,App,5.8,Aborted,58.4
Germany,Berlin,CS-8753,Level 2,Kia EV6,Kia,77,2025-03-30 09:18:26,2025-03-30 10:27:26,69,70.77,15.72,Subscription,29.7,Completed,51.2
UK,London,CS-2419,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-01-09 01:31:49,2025-01-09 03:55:49,144,28.8,9.62,Subscription,-3.8,Completed,80.0
France,Paris,CS-9798,DC Fast,Chevy Bolt,Chevrolet,66,2025-02-18 16:41:07,2025-02-18 17:04:07,23,32.84,12.33,Card,6.0,Aborted,50.4
Germany,Hamburg,CS-2857,Level 1,Tesla Model 3,Tesla,60,2025-01-18 13:08:09,2025-01-18 14:24:09,76,25.49,7.09,App,18.5,Aborted,37.5
China,Shenzhen,CS-6312,DC Fast,Nissan Leaf,Nissan,40,2025-03-07 09:41:15,2025-03-07 11:08:15,87,5.96,0.68,Card,29.3,Failed,28.0
France,Lyon,CS-2921,DC Fast,Porsche Taycan,Porsche,93,2025-01-22 18:57:04,2025-01-22 21:23:04,146,6.76,2.26,Card,14.0,Completed,61.8
Australia,Sydney,CS-2077,DC Fast,Chevy Bolt,Chevrolet,66,2025-03-27 12:37:36,2025-03-27 13:56:36,79,42.11,16.12,Subscription,20.7,Aborted,81.6
India,Delhi,CS-2958,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-30 08:27:47,2025-03-30 09:37:47,70,32.54,9.86,App,18.4,Completed,50.9
India,Bangalore,CS-7471,Level 2,BYD Han,BYD,76,2025-03-18 00:29:57,2025-03-18 03:19:57,170,25.07,7.65,Card,8.5,Aborted,61.2
China,Shanghai,CS-3937,Level 1,Hyundai Kona Electric,Hyundai,64,2025-01-23 08:18:36,2025-01-23 09:21:36,63,13.85,4.57,Subscription,11.2,Aborted,64.5
USA,San Francisco,CS-9561,Level 2,Kia EV6,Kia,77,2025-01-25 07:17:03,2025-01-25 08:47:03,90,23.68,5.34,Subscription,-3.6,Failed,89.6
France,Lyon,CS-3515,DC Fast,Chevy Bolt,Chevrolet,66,2025-01-20 01:26:02,2025-01-20 03:57:02,151,43.94,10.67,App,15.3,Completed,77.3
Japan,Tokyo,CS-8430,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-18 20:55:51,2025-03-18 21:34:51,39,32.78,10.56,Subscription,25.5,Completed,85.8
India,Bangalore,CS-8443,Level 2,Nissan Leaf,Nissan,40,2025-03-02 12:24:55,2025-03-02 13:35:55,71,17.43,5.63,App,26.5,Aborted,39.7
Australia,Melbourne,CS-3921,DC Fast,Kia EV6,Kia,77,2025-04-05 00:31:25,2025-04-05 01:16:25,45,38.88,13.99,Subscription,32.8,Completed,47.8
France,Nice,CS-7207,Level 1,Nissan Leaf,Nissan,40,2025-02-15 12:14:02,2025-02-15 14:06:02,112,23.54,5.27,Card,34.7,Aborted,42.7
Australia,Melbourne,CS-8754,Level 1,BMW i3,BMW,42,2025-02-10 05:19:59,2025-02-10 06:54:59,95,36.91,5.69,App,8.3,Completed,35.1
USA,New York,CS-5398,DC Fast,Kia EV6,Kia,77,2025-01-19 05:23:28,2025-01-19 06:48:28,85,20.08,6.67,Card,14.6,Completed,20.4
Canada,Montreal,CS-5971,Level 1,Porsche Taycan,Porsche,93,2025-03-17 17:07:21,2025-03-17 19:05:21,118,42.75,10.4,Card,16.4,Failed,39.8
USA,Los Angeles,CS-6008,DC Fast,Renault Zoe,Renault,52,2025-03-25 15:44:22,2025-03-25 16:47:22,63,5.84,0.59,Card,4.1,Aborted,35.0
Germany,Munich,CS-4570,Level 1,Renault Zoe,Renault,52,2025-03-14 09:13:06,2025-03-14 11:58:06,165,19.39,2.32,App,32.9,Aborted,68.2
Australia,Brisbane,CS-8426,Level 2,Audi e-tron,Audi,95,2025-02-21 00:55:43,2025-02-21 03:01:43,126,84.92,33.85,App,9.4,Completed,23.2
Canada,Toronto,CS-8849,DC Fast,Chevy Bolt,Chevrolet,66,2025-01-23 18:17:34,2025-01-23 19:29:34,72,49.36,6.88,Card,18.6,Completed,19.9
USA,Los Angeles,CS-4804,Level 1,Hyundai Kona Electric,Hyundai,64,2025-01-22 19:50:31,2025-01-22 22:21:31,151,41.76,11.62,Subscription,-0.7,Completed,13.9
Germany,Munich,CS-2355,DC Fast,Kia EV6,Kia,77,2025-01-23 01:55:15,2025-01-23 03:47:15,112,13.9,2.44,Card,3.2,Failed,60.4
China,Shanghai,CS-3727,Level 1,Nissan Leaf,Nissan,40,2025-02-24 15:04:37,2025-02-24 17:32:37,148,14.45,4.07,App,28.2,Completed,50.9
Australia,Sydney,CS-6917,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-02-12 11:14:29,2025-02-12 11:58:29,44,51.3,12.79,Card,26.1,Failed,87.8
India,Bangalore,CS-7724,Level 1,Porsche Taycan,Porsche,93,2025-01-19 14:32:49,2025-01-19 16:02:49,90,19.11,5.05,Subscription,32.3,Aborted,28.8
USA,San Francisco,CS-5759,Level 1,Nissan Leaf,Nissan,40,2025-02-19 12:00:43,2025-02-19 12:43:43,43,34.23,10.29,Card,26.2,Completed,67.9
Germany,Munich,CS-8164,Level 2,Chevy Bolt,Chevrolet,66,2025-01-24 01:23:46,2025-01-24 03:34:46,131,65.31,12.33,Card,-1.0,Completed,79.9
China,Shanghai,CS-9627,Level 1,Audi e-tron,Audi,95,2025-03-24 20:35:35,2025-03-24 22:39:35,124,71.47,9.18,Card,29.1,Failed,61.8
India,Delhi,CS-6300,Level 2,Kia EV6,Kia,77,2025-03-30 19:58:08,2025-03-30 22:52:08,174,24.32,7.78,App,2.3,Aborted,42.0
Norway,Bergen,CS-6866,Level 1,Porsche Taycan,Porsche,93,2025-03-28 03:16:33,2025-03-28 05:33:33,137,75.39,22.21,Card,0.3,Failed,14.7
UK,London,CS-7145,Level 2,Porsche Taycan,Porsche,93,2025-02-19 19:48:27,2025-02-19 22:34:27,166,47.48,12.85,Card,19.5,Aborted,58.9
UK,Manchester,CS-7381,Level 1,Kia EV6,Kia,77,2025-03-05 12:41:05,2025-03-05 13:24:05,43,68.91,16.0,App,21.2,Completed,66.4
Japan,Yokohama,CS-5706,Level 2,BYD Han,BYD,76,2025-01-27 12:01:50,2025-01-27 14:40:50,159,20.9,8.08,Subscription,15.9,Failed,59.5
Canada,Montreal,CS-1763,Level 2,Chevy Bolt,Chevrolet,66,2025-01-16 18:53:01,2025-01-16 21:11:01,138,26.09,7.9,Card,28.6,Failed,81.4
Australia,Sydney,CS-3428,Level 2,Tesla Model 3,Tesla,60,2025-02-10 07:10:50,2025-02-10 10:09:50,179,56.39,14.19,App,29.8,Completed,70.1
India,Mumbai,CS-5905,DC Fast,Audi e-tron,Audi,95,2025-02-14 13:42:36,2025-02-14 15:08:36,86,9.53,1.59,App,11.1,Completed,16.3
Norway,Trondheim,CS-1838,Level 1,Kia EV6,Kia,77,2025-02-10 09:18:26,2025-02-10 09:55:26,37,66.67,15.61,App,24.8,Completed,18.2
Canada,Toronto,CS-9382,DC Fast,Renault Zoe,Renault,52,2025-03-07 13:06:40,2025-03-07 15:41:40,155,5.01,0.64,Subscription,20.5,Failed,55.0
Norway,Bergen,CS-5774,Level 2,Audi e-tron,Audi,95,2025-02-15 22:17:35,2025-02-15 22:45:35,28,78.49,27.73,Subscription,25.7,Failed,47.9
India,Bangalore,CS-8682,Level 1,Kia EV6,Kia,77,2025-03-19 21:33:18,2025-03-19 22:17:18,44,12.02,3.58,App,9.2,Failed,87.2
China,Shenzhen,CS-9573,Level 1,Renault Zoe,Renault,52,2025-04-06 02:52:17,2025-04-06 04:42:17,110,38.0,4.32,App,0.6,Failed,69.4
Canada,Toronto,CS-4816,Level 2,Hyundai Kona Electric,Hyundai,64,2025-04-02 11:02:21,2025-04-02 13:53:21,171,16.56,2.26,Card,13.3,Completed,67.3
Germany,Munich,CS-8512,Level 2,Tesla Model 3,Tesla,60,2025-01-26 00:21:35,2025-01-26 03:18:35,177,51.06,14.13,App,21.3,Failed,20.8
Norway,Oslo,CS-1659,DC Fast,Renault Zoe,Renault,52,2025-01-22 21:08:49,2025-01-22 21:35:49,27,31.0,7.13,App,32.0,Completed,65.3
UK,Birmingham,CS-4335,Level 2,BMW i3,BMW,42,2025-01-23 20:45:58,2025-01-23 21:26:58,41,19.33,5.42,Subscription,30.3,Aborted,88.4
France,Lyon,CS-4991,Level 1,Porsche Taycan,Porsche,93,2025-02-09 12:12:45,2025-02-09 13:54:45,102,90.4,21.32,Card,11.5,Failed,80.9
Japan,Osaka,CS-6013,DC Fast,Renault Zoe,Renault,52,2025-03-26 05:00:41,2025-03-26 06:35:41,95,38.46,14.64,Card,3.0,Failed,67.2
India,Bangalore,CS-3556,Level 2,BMW i3,BMW,42,2025-02-05 09:01:15,2025-02-05 10:01:15,60,23.64,7.29,Subscription,-0.4,Aborted,55.0
Australia,Brisbane,CS-2488,Level 1,Porsche Taycan,Porsche,93,2025-01-23 14:41:15,2025-01-23 17:12:15,151,30.16,10.68,Subscription,-0.7,Aborted,21.6
USA,New York,CS-5533,Level 1,Hyundai Kona Electric,Hyundai,64,2025-01-16 21:38:58,2025-01-16 22:34:58,56,63.03,19.23,Card,22.6,Aborted,26.3
Japan,Tokyo,CS-8757,DC Fast,Audi e-tron,Audi,95,2025-02-16 19:50:36,2025-02-16 22:00:36,130,14.22,5.13,Subscription,29.6,Failed,61.8
Canada,Toronto,CS-7681,Level 2,Renault Zoe,Renault,52,2025-03-01 08:47:00,2025-03-01 10:15:00,88,37.57,4.29,App,11.7,Failed,35.0
Japan,Tokyo,CS-1166,Level 2,Tesla Model 3,Tesla,60,2025-03-05 14:13:37,2025-03-05 15:32:37,79,16.17,5.83,Card,31.5,Failed,66.8
India,Bangalore,CS-9362,Level 1,Renault Zoe,Renault,52,2025-01-29 10:01:09,2025-01-29 12:50:09,169,14.23,4.52,App,13.0,Failed,16.0
UK,Birmingham,CS-4228,DC Fast,Renault Zoe,Renault,52,2025-01-17 16:09:08,2025-01-17 16:54:08,45,22.73,5.19,App,0.2,Failed,77.7
USA,Los Angeles,CS-4626,DC Fast,Kia EV6,Kia,77,2025-03-13 16:32:24,2025-03-13 17:26:24,54,7.88,2.98,Card,25.9,Failed,59.2
China,Shanghai,CS-6452,Level 2,BYD Han,BYD,76,2025-03-08 09:00:41,2025-03-08 11:35:41,155,30.42,10.2,Subscription,3.8,Completed,51.6
Japan,Tokyo,CS-1449,Level 1,Porsche Taycan,Porsche,93,2025-03-06 22:09:50,2025-03-07 00:43:50,154,52.26,6.67,Card,21.5,Aborted,38.9
France,Nice,CS-3155,DC Fast,Renault Zoe,Renault,52,2025-03-17 06:38:08,2025-03-17 08:54:08,136,51.84,17.99,Card,-0.4,Aborted,45.7
Australia,Brisbane,CS-9794,Level 1,Chevy Bolt,Chevrolet,66,2025-03-30 05:50:34,2025-03-30 06:15:34,25,46.64,9.15,App,5.3,Failed,32.6
Japan,Osaka,CS-1434,DC Fast,Renault Zoe,Renault,52,2025-01-16 10:47:32,2025-01-16 13:12:32,145,25.94,2.94,Card,7.8,Completed,85.9
UK,Birmingham,CS-6977,DC Fast,Renault Zoe,Renault,52,2025-01-21 08:23:49,2025-01-21 08:39:49,16,34.47,5.63,Card,29.6,Aborted,76.9
France,Nice,CS-4397,DC Fast,Porsche Taycan,Porsche,93,2025-03-25 06:48:05,2025-03-25 09:48:05,180,76.87,9.35,Card,-4.0,Failed,36.5
Germany,Berlin,CS-6664,DC Fast,Tesla Model 3,Tesla,60,2025-03-12 19:48:44,2025-03-12 20:48:44,60,48.68,13.02,Card,31.4,Aborted,41.0
Canada,Vancouver,CS-3910,Level 1,Audi e-tron,Audi,95,2025-03-31 05:30:59,2025-03-31 05:49:59,19,40.06,5.43,Subscription,23.8,Completed,70.5
Australia,Sydney,CS-9974,DC Fast,Nissan Leaf,Nissan,40,2025-02-10 00:24:31,2025-02-10 02:10:31,106,37.48,4.94,App,19.3,Aborted,71.2
Norway,Bergen,CS-4507,Level 1,Porsche Taycan,Porsche,93,2025-01-23 01:51:42,2025-01-23 02:13:42,22,46.71,12.15,Subscription,10.6,Failed,33.6
UK,Manchester,CS-5791,Level 1,Audi e-tron,Audi,95,2025-04-07 05:47:38,2025-04-07 06:04:38,17,54.82,14.61,Card,-4.8,Failed,41.5
Japan,Tokyo,CS-3097,Level 2,Hyundai Kona Electric,Hyundai,64,2025-04-07 19:37:51,2025-04-07 20:45:51,68,49.15,18.24,Card,11.5,Failed,78.1
UK,London,CS-2505,Level 1,BMW i3,BMW,42,2025-04-03 16:42:24,2025-04-03 17:53:24,71,27.82,4.89,Card,21.8,Failed,78.2
Japan,Osaka,CS-4317,Level 1,Renault Zoe,Renault,52,2025-01-08 17:31:53,2025-01-08 18:04:53,33,18.66,2.24,Card,24.0,Aborted,86.1
India,Mumbai,CS-9222,Level 1,Chevy Bolt,Chevrolet,66,2025-02-24 17:08:20,2025-02-24 17:48:20,40,22.39,2.71,App,14.4,Aborted,59.3
China,Shenzhen,CS-4699,Level 2,BYD Han,BYD,76,2025-03-15 03:37:24,2025-03-15 04:31:24,54,45.15,9.45,App,1.7,Aborted,29.7
France,Nice,CS-1115,DC Fast,Porsche Taycan,Porsche,93,2025-01-17 05:49:26,2025-01-17 07:14:26,85,78.93,11.07,App,30.1,Aborted,45.6
China,Shanghai,CS-1245,Level 2,Renault Zoe,Renault,52,2025-04-07 03:35:08,2025-04-07 04:17:08,42,13.26,3.74,Card,30.7,Completed,31.1
Germany,Hamburg,CS-5662,DC Fast,Nissan Leaf,Nissan,40,2025-02-07 02:12:12,2025-02-07 02:31:12,19,34.74,10.06,Subscription,11.2,Failed,27.0
USA,San Francisco,CS-5516,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-26 23:46:31,2025-03-27 02:20:31,154,57.75,15.12,Card,9.6,Completed,81.3
Australia,Brisbane,CS-8310,Level 2,Hyundai Kona Electric,Hyundai,64,2025-03-26 17:28:07,2025-03-26 18:17:07,49,32.42,8.21,App,15.1,Failed,29.1
Australia,Brisbane,CS-1339,DC Fast,BMW i3,BMW,42,2025-03-16 06:39:37,2025-03-16 09:05:37,146,10.19,1.51,Subscription,21.4,Completed,68.9
Norway,Bergen,CS-1616,Level 2,Tesla Model 3,Tesla,60,2025-02-11 03:45:37,2025-02-11 04:56:37,71,46.88,7.95,App,4.4,Failed,26.5
India,Delhi,CS-8874,DC Fast,Kia EV6,Kia,77,2025-03-22 03:49:42,2025-03-22 06:00:42,131,68.47,7.67,App,-0.9,Failed,60.7
China,Shenzhen,CS-1208,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-03-12 12:53:18,2025-03-12 15:36:18,163,37.12,5.65,App,9.6,Failed,81.9
Germany,Hamburg,CS-9397,Level 2,Hyundai Kona Electric,Hyundai,64,2025-02-15 13:04:30,2025-02-15 14:55:30,111,62.39,10.41,App,27.7,Aborted,48.9
Norway,Trondheim,CS-4656,Level 1,Tesla Model 3,Tesla,60,2025-01-28 18:05:39,2025-01-28 20:28:39,143,53.51,12.41,Card,15.6,Aborted,26.9
UK,London,CS-6546,Level 1,Audi e-tron,Audi,95,2025-04-03 14:19:11,2025-04-03 17:08:11,169,69.56,9.43,App,27.4,Failed,19.1
Norway,Bergen,CS-5288,Level 1,Chevy Bolt,Chevrolet,66,2025-01-17 22:12:18,2025-01-18 00:58:18,166,14.84,5.19,Card,-3.3,Failed,57.4
UK,Birmingham,CS-2607,Level 1,Renault Zoe,Renault,52,2025-01-16 12:41:35,2025-01-16 13:06:35,25,46.87,6.75,App,31.9,Failed,86.7
Australia,Brisbane,CS-8665,DC Fast,Tesla Model 3,Tesla,60,2025-02-21 06:53:26,2025-02-21 08:20:26,87,57.1,9.42,App,29.7,Completed,27.5
Canada,Montreal,CS-2818,DC Fast,BMW i3,BMW,42,2025-02-05 16:02:11,2025-02-05 18:46:11,164,35.36,5.47,Subscription,5.6,Failed,64.8
Norway,Trondheim,CS-5589,Level 1,BYD Han,BYD,76,2025-02-16 05:58:03,2025-02-16 06:30:03,32,21.32,4.6,Card,3.1,Failed,64.7
UK,Birmingham,CS-5960,Level 1,Nissan Leaf,Nissan,40,2025-02-16 23:48:17,2025-02-17 00:48:17,60,21.66,6.16,Subscription,15.1,Completed,17.5
UK,Birmingham,CS-4920,DC Fast,Renault Zoe,Renault,52,2025-04-05 23:54:19,2025-04-06 00:09:19,15,47.16,15.68,App,15.9,Aborted,80.0
Japan,Osaka,CS-3035,DC Fast,Chevy Bolt,Chevrolet,66,2025-03-23 04:39:03,2025-03-23 06:57:03,138,53.16,11.4,Subscription,31.3,Failed,56.1
Canada,Toronto,CS-1139,Level 1,Hyundai Kona Electric,Hyundai,64,2025-03-26 10:15:10,2025-03-26 12:32:10,137,50.19,18.72,App,18.9,Failed,42.7
France,Paris,CS-7310,Level 2,Tesla Model 3,Tesla,60,2025-03-24 12:16:30,2025-03-24 14:58:30,162,33.74,8.64,Subscription,3.2,Aborted,42.7
Germany,Berlin,CS-7631,Level 2,Porsche Taycan,Porsche,93,2025-02-21 16:16:05,2025-02-21 19:00:05,164,27.32,9.74,Subscription,9.6,Aborted,89.3
Canada,Toronto,CS-7826,Level 2,Porsche Taycan,Porsche,93,2025-03-05 03:47:27,2025-03-05 06:23:27,156,73.97,18.1,Subscription,17.2,Aborted,89.1
Australia,Melbourne,CS-6094,DC Fast,Porsche Taycan,Porsche,93,2025-03-22 22:06:29,2025-03-22 22:56:29,50,80.24,23.89,Card,12.9,Failed,85.9
Germany,Berlin,CS-7851,DC Fast,Renault Zoe,Renault,52,2025-01-11 21:45:44,2025-01-11 23:42:44,117,41.95,14.27,Subscription,22.4,Completed,22.9
USA,New York,CS-2002,Level 1,BMW i3,BMW,42,2025-03-02 06:58:13,2025-03-02 09:13:13,135,39.26,9.05,App,3.9,Completed,58.7
Canada,Vancouver,CS-1213,Level 1,BYD Han,BYD,76,2025-01-19 01:17:34,2025-01-19 03:45:34,148,25.34,9.86,Card,20.6,Aborted,10.9
Japan,Osaka,CS-5757,DC Fast,Chevy Bolt,Chevrolet,66,2025-02-19 08:31:31,2025-02-19 08:54:31,23,52.82,13.37,Card,19.6,Failed,12.9
France,Nice,CS-8955,Level 2,Tesla Model 3,Tesla,60,2025-02-18 04:09:18,2025-02-18 05:04:18,55,9.78,1.79,App,21.8,Aborted,56.9
Japan,Tokyo,CS-5643,DC Fast,Nissan Leaf,Nissan,40,2025-01-23 15:05:05,2025-01-23 15:43:05,38,24.24,7.7,Subscription,8.9,Aborted,28.1
France,Lyon,CS-5279,DC Fast,Porsche Taycan,Porsche,93,2025-04-07 20:07:29,2025-04-07 22:49:29,162,5.41,0.83,Card,17.3,Failed,33.5
Germany,Hamburg,CS-2274,DC Fast,Hyundai Kona Electric,Hyundai,64,2025-01-27 03:59:54,2025-01-27 06:31:54,152,52.98,14.44,App,33.6,Failed,48.7
France,Lyon,CS-4875,Level 2,Kia EV6,Kia,77,2025-03-31 00:05:02,2025-03-31 02:17:02,132,69.55,24.94,Card,5.3,Aborted,60.7
France,Nice,CS-5409,DC Fast,Chevy Bolt,Chevrolet,66,2025-02-09 06:35:02,2025-02-09 08:10:02,95,30.16,6.21,Card,23.0,Aborted,29.9
Germany,Munich,CS-6858,Level 2,Audi e-tron,Audi,95,2025-02-18 21:44:32,2025-02-18 22:18:32,34,54.91,8.43,App,3.7,Failed,31.5
France,Lyon,CS-1695,Level 1,Chevy Bolt,Chevrolet,66,2025-02-06 20:31:44,2025-02-06 21:46:44,75,49.86,18.04,Card,3.1,Completed,76.9
India,Mumbai,CS-8166,DC Fast,Nissan Leaf,Nissan,40,2025-01-31 17:18:23,2025-01-31 18:03:23,45,37.21,11.27,App,19.6,Failed,86.6
Norway,Bergen,CS-6526,DC Fast,BYD Han,BYD,76,2025-03-09 04:36:20,2025-03-09 06:11:20,95,39.96,15.81,App,14.6,Failed,32.4
France,Nice,CS-4234,DC Fast,BMW i3,BMW,42,2025-03-15 11:52:26,2025-03-15 12:20:26,28,24.45,5.55,Card,15.1,Aborted,78.8
UK,Manchester,CS-7402,Level 1,Nissan Leaf,Nissan,40,2025-02-15 20:27:49,2025-02-15 22:54:49,147,21.1,6.47,Subscription,3.4,Failed,18.1
India,Bangalore,CS-1893,Level 2,Hyundai Kona Electric,Hyundai,64,2025-01-24 15:14:23,2025-01-24 16:16:23,62,37.37,6.4,Subscription,8.7,Completed,49.9
France,Lyon,CS-9478,Level 1,Audi e-tron,Audi,95,2025-03-30 08:19:51,2025-03-30 10:07:51,108,81.89,15.06,Subscription,0.2,Failed,64.9
Germany,Hamburg,CS-4611,Level 1,Hyundai Kona Electric,Hyundai,64,2025-02-23 08:55:24,2025-02-23 10:10:24,75,37.77,13.48,Card,27.0,Failed,22.0
USA,New York,CS-9354,DC Fast,Porsche Taycan,Porsche,93,2025-01-21 09:36:57,2025-01-21 11:58:57,142,16.83,6.19,Subscription,16.4,Aborted,72.8
China,Shanghai,CS-7399,Level 1,Renault Zoe,Renault,52,2025-02-11 09:05:49,2025-02-11 11:45:49,160,7.24,0.94,Card,3.6,Aborted,48.1
Germany,Munich,CS-9822,Level 2,Audi e-tron,Audi,95,2025-03-19 05:39:51,2025-03-19 07:00:51,81,37.49,10.05,App,-4.2,Completed,38.1
Australia,Sydney,CS-1018,Level 2,BYD Han,BYD,76,2025-04-06 08:29:23,2025-04-06 11:11:23,162,51.14,13.37,App,8.0,Failed,49.0
Norway,Oslo,CS-2984,Level 1,Porsche Taycan,Porsche,93,2025-03-26 17:40:02,2025-03-26 20:32:02,172,30.21,8.75,Card,20.6,Aborted,43.7
Australia,Brisbane,CS-5173,Level 2,Porsche Taycan,Porsche,93,2025-02-02 02:56:39,2025-02-02 03:29:39,33,11.96,2.43,App,21.1,Failed,31.4
Canada,Vancouver,CS-7845,Level 2,Kia EV6,Kia,77,2025-03-22 17:52:24,2025-03-22 19:39:24,107,58.85,15.08,App,1.7,Completed,20.0
